"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Phc2",3.18628505675073e-07,0.798621036662192,0.307,0.236,0.0079940705788819
"Gm15551",3.19827262455785e-07,-3.88000729247978,0.001,0.022,0.0080241461877532
"Iqcg",3.20311076070941e-07,0.447400446743228,0.01,0.039,0.00803628458754385
"Gpi-ps",3.20434572844886e-07,-1.2354227003346,0.004,0.026,0.00803938299810534
"Lrrc27",3.20489421457282e-07,-0.84626073317107,0.013,0.043,0.00804075909494175
"Arhgap1",3.20568214402517e-07,0.469037656394867,0.526,0.452,0.00804273593114474
"Tnr",3.20644882783206e-07,-0.645934625053663,0.016,0.049,0.00804465946414787
"Dennd1b",3.22215786708492e-07,1.35724068981247,0.152,0.098,0.00808407187272936
"E230016K23Rik",3.24943359601613e-07,-2.66270665722997,0.001,0.022,0.00815250394904487
"Gpat3",3.26217435368088e-07,-4.9112996125788,0.001,0.02,0.00818446923594996
"Pelp1",3.2634676024418e-07,-0.255166657468331,0.058,0.108,0.00818771386776624
"Gm13446",3.27011843426907e-07,-2.75495035242925,0.001,0.022,0.00820440013973768
"Birc2",3.2909983193204e-07,0.225348232612113,0.118,0.186,0.00825678568334295
"Gm22879",3.29490529973994e-07,-2.33088546908911,0.001,0.02,0.00826658790651753
"Idnk",3.30079343958454e-07,-0.526603395454093,0.18,0.249,0.00828136066057364
"Il27ra",3.32346690943522e-07,-3.26807734941133,0.009,0.036,0.00833824612908203
"Hmgcr",3.32539864942922e-07,1.35854288281651,0.16,0.105,0.00834309267155297
"H2-DMb1",3.33558111253149e-07,-2.76331920362038,0.001,0.022,0.00836863945323026
"A930013F10Rik",3.33809369107406e-07,3.51367004036811,0.028,0.007,0.0083749432615357
"Gm10653",3.36680693814372e-07,-1.9880325029745,0.016,0.047,0.00844698192710878
"3010003L21Rik",3.36691351657976e-07,-3.35362364719953,0.001,0.02,0.00844724932174696
"Zfp995",3.39775276244671e-07,-2.49833574852876,0.006,0.032,0.00852462190570256
"Abca3",3.40126798522842e-07,-0.87190546738881,0.075,0.128,0.00853344124813958
"Nsun6",3.40817530141983e-07,-0.268396122430226,0.036,0.078,0.00855077101373222
"4921533I20Rik",3.46951750635538e-07,1.67372103188102,0.02,0.003,0.00870467247169502
