"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"73","Slc35d2",2.36703153841124e-54,1.10804836177105,0.066,0.026,5.93864542671995e-50
"74","Slc39a11",6.47857867041635e-50,1.80914647004334,0.034,0.009,1.62541060262076e-45
"75","Slc7a11",1.80507447262466e-47,4.34222970401361,0.014,0.002,4.52875134436801e-43
"76","Slc11a2",5.02381046004357e-42,1.01724401796164,0.069,0.031,1.26042380632033e-37
"77","Rft1",1.9955766440792e-41,1.05338500536687,0.056,0.023,5.00670224233029e-37
"78","Slc1a3",1.74112446646954e-39,2.47314717581001,0.016,0.003,4.36830717392544e-35
"79","Slc10a3",1.12329780171714e-38,1.04648862494206,0.074,0.036,2.81824185472812e-34
"80","Slc20a2",3.44307734407249e-37,1.32924801025685,0.033,0.011,8.63833674854346e-33
"81","Slc18a2",1.80773890217558e-34,1.38296999034556,0.014,0.003,4.53543613166832e-30
"82","Slc6a1",5.10674021686509e-34,4.88026405776586,0.012,0.002,1.28123005300928e-29
"83","Slc26a6",1.7162789105604e-30,1.73785947420652,0.012,0.002,4.30597215870498e-26
"84","Gda",3.43344882616394e-27,-2.30612374111228,0.018,0.051,8.6141797599627e-23
"85","Slc45a3",4.48068633630836e-25,-7.9943097749364,0.001,0.022,1.1241593949164e-20
"86","Mfsd7b",1.87832101432626e-22,1.29051194168514,0.03,0.013,4.71251959284315e-18
"87","Slc39a14",3.67692356538765e-22,-3.74631509829469,0.006,0.028,9.22503353320107e-18
"88","Slc7a2",3.25706681760886e-21,1.11558479546074,0.01,0.002,8.17165493869888e-17
"89","Slc15a3",1.93075190752634e-20,-3.89813654419521,0.004,0.024,4.84406346079285e-16
"90","Slc22a18",1.08224579555641e-19,1.30816790472336,0.012,0.003,2.71524647647147e-15
"91","Mfsd14b",1.6728674131749e-19,1.57366441521002,0.01,0.003,4.19705705291451e-15
"92","Cnnm4",1.03362786003865e-18,1.02406391224749,0.016,0.005,2.59326893805096e-14
"93","Slc39a2",8.37745681440151e-18,2.58252839390846,0.011,0.003,2.1018201401652e-13
"94","Slc39a6",9.25148626150392e-18,-1.88757853254168,0.019,0.043,2.32110538814872e-13
"95","Slc30a2",1.5831421788376e-17,-6.41258465162498,0.001,0.015,3.97194541248565e-13
"96","Slc34a2",4.57062603143044e-13,-2.93192320555298,0.021,0.01,1.14672436502558e-08
"97","Slc9a9",3.64189471396959e-12,-4.16977222604251,0.006,0.019,9.13714964787829e-08
"98","Slc24a5",2.86725787861431e-10,-1.15242679770563,0.048,0.07,7.19366329165545e-06
"99","Slc6a2",4.46067367572636e-08,-3.32424312429083,0.005,0.014,0.00111913841850299
"100","Odc1",3.27257892211939e-07,-1.11707376173847,0.089,0.109,0.00821057325770534
"101","Sv2b",4.75466533647329e-07,-4.6630657201267,0.003,0.01,0.0119289798626778
