"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:26196","MFSD13A","major facilitator superfamily domain containing 13A","C10orf77,TMEM180","SLC68A1,FLJ22529,bA18I14.8","10q24.32","Solute carrier family 68"
"HGNC:30650","STRA6","signaling receptor and transporter of retinol STRA6","","SLC69A1,FLJ12541","15q24.1","Solute carrier family 69"
"HGNC:23363","MFSD14A","major facilitator superfamily domain containing 14A","HIAT1","SLC71A1,DKFZP564L0864","1p21.2","Solute carrier family 71"
"HGNC:23376","MFSD14B","major facilitator superfamily domain containing 14B","HIATL1","SLC71A2,FLJ14753","9q22.32","Solute carrier family 71"
"HGNC:23672","MFSD14CP","major facilitator superfamily domain containing 14C, pseudogene","HIATL2,MFSD14C","MGC12945,SLC71A3P","9q22.33","Solute carrier family 71"
"HGNC:25874","MFSD1","major facilitator superfamily domain containing 1","","Minerva,SLC72A1,FLJ14153,UG0581B09","3q25.32","Solute carrier family 72"
"HGNC:24711","MFSD6","major facilitator superfamily domain containing 6","","SLC73A1,FLJ20160","2q32.2","Solute carrier family 73"
"HGNC:26656","MFSD6L","major facilitator superfamily domain containing 6 like","","SLC73A2,FLJ35773","17p13.1","Solute carrier family 73"
"HGNC:28486","MFSD8","major facilitator superfamily domain containing 8","CLN7","SLC74A1,MGC33302","4q28.2","Solute carrier family 74"
"HGNC:16894","MFSD10","major facilitator superfamily domain containing 10","","IT10C3,TETRAN,SLC75A1","4p16.3","Solute carrier family 75"
"HGNC:30220","RFT1","RFT1 glycolipid translocator homolog","","CDG1N,SLC76A1","3p21.1","Solute carrier family 76"
"HGNC:10956","SLCO1A2","solute carrier organic anion transporter family member 1A2","SLC21A3","OATP,OATP1A2,OATP-A","12p12.1","Solute carrier organic anion transporter family"
"HGNC:10959","SLCO1B1","solute carrier organic anion transporter family member 1B1","SLC21A6","OATP-C,LST-1,OATP1B1","12p12.1","Solute carrier organic anion transporter family"
"HGNC:10961","SLCO1B3","solute carrier organic anion transporter family member 1B3","SLC21A8","OATP8,OATP1B3","12p12.2","Solute carrier organic anion transporter family"
"HGNC:32934","SLCO1B7","solute carrier organic anion transporter family member 1B7 (putative)","","LST3,SLC21A21","12p12.2","Solute carrier organic anion transporter family"
"HGNC:13819","SLCO1C1","solute carrier organic anion transporter family member 1C1","SLC21A14","OATP-F,OATP1C1,OATP1","12p12.2","Solute carrier organic anion transporter family"
"HGNC:10955","SLCO2A1","solute carrier organic anion transporter family member 2A1","SLC21A2,MATR1","PGT,OATP2A1","3q22.1-q22.2","Solute carrier organic anion transporter family"
"HGNC:10962","SLCO2B1","solute carrier organic anion transporter family member 2B1","SLC21A9","OATP-B,OATP2B1","11q13.4","Solute carrier organic anion transporter family"
"HGNC:10952","SLCO3A1","solute carrier organic anion transporter family member 3A1","SLC21A11","OATP-D,OATP3A1","15q26.1","Solute carrier organic anion transporter family"
"HGNC:10953","SLCO4A1","solute carrier organic anion transporter family member 4A1","SLC21A12","OATP-E,OATP4A1","20q13.33","Solute carrier organic anion transporter family"
"HGNC:23612","SLCO4C1","solute carrier organic anion transporter family member 4C1","","SLC21A20,OATP4C1,OATPX,OATP-H","5q21.1","Solute carrier organic anion transporter family"
"HGNC:19046","SLCO5A1","solute carrier organic anion transporter family member 5A1","SLC21A15","OATPRP4,OATP-J,OATP5A1","8q13.3","Solute carrier organic anion transporter family"
"HGNC:23613","SLCO6A1","solute carrier organic anion transporter family member 6A1","","OATP6A1,OATPY,MGC26949,CT48","5q21.1","Solute carrier organic anion transporter family"
