"275","Cfhr2"
"276","Cfh"
"277","Gm4788"
"278","4930590L20Rik"
"279","Uchl5"
"280","Ptgs2os"
"281","Hmcn1"
"282","Edem3"
"283","Fam129a"
"284","Swt1"
"285","Ncf2"
"286","Rgl1"
"287","Colgalt2"
"288","Dhx9"
"289","Lamc1"
"290","Cacna1e"
"291","Xpr1"
"292","Fam163a"
"293","Acbd6"
"294","Ralgps2"
"295","Abl2"
"296","Sec16b"
"297","2810025M15Rik"
"298","Astn1"
"299","Rfwd2"
"300","Pappa2"
"301","Tnr"
"302","Rc3h1"
"303","Suco"
"304","Dnm3"
"305","2810442N19Rik"
"306","Mroh9"
"307","Fmo6"
"308","BC055324"
"309","Kifap3"
"310","Mettl11b"
"311","Nme7"
"312","Dcaf6"
"313","Tbx19"
"314","Adcy10"
"315","Cd247"
"316","Pou2f1"
"317","Uck2"
"318","Mgst3"
"319","Gm16701"
"320","Pbx1"
"321","Nos1ap"
"322","Atf6"
"323","Ddr2"
"324","Olfml2b"
"325","F11r"
"326","Pcp4l1"
"327","Cd48"
"328","Cd244"
"329","Atp1a4"
"330","Igsf9"
"331","Kcnj10"
"332","Copa"
"333","Ifi203"
"334","Fmn2"
"335","Spta1"
"336","Grem2"
"337","Wdr64"
"338","Exo1"
"339","Kmo"
"340","Sdccag8"
"341","Gm16432"
"342","1700016C15Rik"
"343","Kif26b"
"344","Cdc42bpa"
"345","Cnst"
"346","Acbd3"
"347","Ephx1"
"348","Nvl"
"349","Enah"
"350","Fbxo28"
"351","Capn8"
"352","Disp1"
"353","Susd4"
"354","Mark1"
"355","Rab3gap2"
"356","Bpnt1"
"357","Slc30a10"
"358","Gpatch2"
"359","Spata17"
"360","Cenpf"
"361","Kcnk2"
"362","Kctd3"
"363","Lpgat1"
"364","Vash2"
"365","Ppp2r5a"
"366","Batf3"
"367","Traf5"
"368","Hhat"
"369","Kcnh1"
"370","Lamb3"
"371","Traf3ip3"
"372","Plxna2"
"373","Cr2"
"374","Sox17"
"375","Mrpl15"
"376","Lypla1"
"377","Tcea1"
"378","Npbwr1"
"379","Rb1cc1"
"380","Fam150a"
"381","Pcmtd1"
"382","Rrs1"
"383","3110035E14Rik"
"384","1700034P13Rik"
"385","Vcpip1"
"386","Snhg6"
"387","Mcmdc2"
"388","Snord87"
"389","Ppp1r42"
"390","Cops5"
"391","Gm17644"
"392","Prdm14"
"393","Tram1"
"394","Xkr9"
"395","Gm5523"
"396","Msc"
"397","Trpa1"
"398","Terf1"
"399","Rpl7"
"400","4930444P10Rik"
"401","Ube2w"
"402","Tmem70"
"403","Ly96"
"404","D030040B21Rik"
"405","Gdap1"
"406","Pi15"
"407","Crispld1"
"408","Tfap2b"
"409","4930486I03Rik"
"410","Mcm3"
"411","Il17f"
"412","Paqr8"
"413","6720483E21Rik"
"414","Tram2"
"415","Tmem14a"
"416","Gsta3"
"417","Khdc1b"
"418","4933415F23Rik"
"419","Mir30c-2"
"420","Mir30a"
"421","Ogfrl1"
"422","B3gat2"
"423","Fam135a"
"424","1110058L19Rik"
"425","Lmbrd1"
"426","Gm20172"
"427","4931408C20Rik"
"428","Phf3"
"429","Ptp4a1"
"430","Gm4850"
"431","Gm5415"
"432","1700001G17Rik"
"433","Rab23"
"434","Zfp451"
"435","Bag2"
"436","Bend6"
"437","Gm15455"
"438","Mir6896"
"439","Ccdc115"
"440","Imp4"
"441","Mir5103"
"442","Prss39"
"443","Amer3"
"444","AA619741"
"445","Fam168b"
"446","Arhgef4"
"447","Hs6st1"
"448","Neurl3"
"449","Arid5a"
"450","Fer1l5"
"451","Kansl3"
"452","Mir6898"
"453","Ankrd39"
"454","Cnnm3"
"455","Sema4c"
"456","Cnnm4"
"457","Ankrd23"
"458","Cox5b"
"459","Zap70"
"460","4933424G06Rik"
"461","Unc50"
"462","Coa5"
"463","Tsga10"
"464","Lipt1"
"465","Mrpl30"
"466","Txndc9"
"467","Lyg1"
